study,participant_id,study_participant_id,session_id,n_calibration_epochs,calibration_auc_reproduced,calibration_auc_ea_session,calibration_auc_rbf,calibration_auc_gbm,calibration_auc_ea_cohort
StudyM,M_16,StudyM:M_16,SE001,2186,0.6386333611458767,0.6260899040467252,0.6112345292727019,0.5468154637741621,0.6311344041162565
StudyM,M_17,StudyM:M_17,SE001,3388,0.8791089615983757,0.8842547853417186,0.6797486838214448,0.7015475577152299,0.8830277746446241
StudyM,M_18,StudyM:M_18,SE001,6765,0.8545519403988694,0.8295406600747578,0.668579682671298,0.7260051391398679,0.8400417078996696
StudyM,M_19,StudyM:M_19,SE001,6274,0.7322643710725578,0.7104606458548286,0.5631001938999624,0.6041504016136106,0.716557633376368
StudyM,M_20,StudyM:M_20,SE001,5762,0.7111013779061508,0.6996050949382073,0.6295553766750319,0.5713078270751456,0.7012405890430419
StudyM,M_21,StudyM:M_21,SE001,6132,0.7617928075374883,0.7416884150926704,0.6722694499290245,0.7029876104344188,0.7461246918693727
StudyM,M_22,StudyM:M_22,SE001,6968,0.6424688164931571,0.6198594207947784,0.5713392226217964,0.5526499501680638,0.6276581680087499
StudyM,M_23,StudyM:M_23,SE001,6396,0.8159064410015723,0.7852909578303994,0.6653295940865618,0.6760910733918923,0.7967615812713539
StudyM,M_24,StudyM:M_24,SE001,6805,0.714398152552781,0.6789579567372145,0.5825329746840917,0.6085005059722018,0.6914285714285715
StudyM,M_25,StudyM:M_25,SE001,3387,0.6380020782819535,0.6348527883616211,0.5778503636993418,0.5906920678905438,0.6323844821614133
StudyN,N_01,StudyN:N_01,SE001,2792,0.5947869917696108,0.5671205975642983,0.6015831032834164,0.5874061165003623,0.5849809534091084
StudyN,N_01,StudyN:N_01,SE002,3780,0.6909502551020408,0.6458446712018141,0.6200829081632654,0.60156320861678,0.6748986678004534
StudyN,N_02,StudyN:N_02,SE001,3730,0.8566215298732649,0.8542822408430435,0.79067243860545,0.7823866405923587,0.8519748676941645
StudyN,N_02,StudyN:N_02,SE002,1663,0.7899077761475581,0.7584189198630614,0.666820373087403,0.7414238803884581,0.776545797526724
StudyN,N_03,StudyN:N_03,SE001,819,0.4760898442217124,0.4479984301412874,0.4743539427605361,0.4759388962685665,0.46338002656683974
StudyN,N_03,StudyN:N_03,SE002,3747,0.9000400040004,0.9047136597717744,0.7701828153829876,0.7715626635127281,0.8947604905418078
StudyN,N_04,StudyN:N_04,SE001,3379,0.659162113510664,0.6137998092346643,0.5398271123029537,0.581866009390168,0.6361733037841002
StudyN,N_04,StudyN:N_04,SE002,232,0.6836633663366337,0.7028052805280528,0.6547854785478548,0.5343234323432343,0.6704620462046205
StudyN,N_05,StudyN:N_05,SE001,2558,0.6760409484881316,0.6496032576578351,0.6491523441347384,0.6655945287107259,0.6652682704619325
StudyN,N_05,StudyN:N_05,SE002,3404,0.8910971008178982,0.890711515219652,0.7844734604682537,0.8051317139323758,0.8899868953596222
StudyN,N_06,StudyN:N_06,SE001,3159,0.6717076752082718,0.6441036413137688,0.583783866461369,0.6123984133620206,0.6594091914876261
StudyN,N_06,StudyN:N_06,SE002,3780,0.8909063208616779,0.9067077664399094,0.7724624433106576,0.8295280612244897,0.8888683390022675
StudyN,N_07,StudyN:N_07,SE001,3778,0.8219709861312005,0.8260472503474291,0.7669049037125273,0.7162015371961769,0.8181212598201877
StudyN,N_07,StudyN:N_07,SE002,3621,0.6264375172532914,0.6048907587130086,0.5504559495517615,0.6282472814981487,0.6128947437413926
StudyN,N_08,StudyN:N_08,SE001,3625,0.8369168738991976,0.7768194398778678,0.6598144863643309,0.7710400834795925,0.8132313919079749
StudyN,N_08,StudyN:N_08,SE002,3763,0.9785139571309032,0.98922908575965,0.8648901094971427,0.8677888157000736,0.9861515795195286
StudyO,O_01,StudyO:O_01,SE001,4271,0.8754896896121227,0.8834050827270509,0.7294724984573879,0.7553575272288949,0.8740403518590267
StudyO,O_01,StudyO:O_01,SE002,4299,0.9090239384641488,0.907407773991488,0.7754825162959715,0.8024468701836742,0.9109031008299987
StudyO,O_02,StudyO:O_02,SE001,4320,0.9435592031425364,0.9465467171717172,0.8460058922558923,0.8546303310886645,0.94393588664422
StudyO,O_02,StudyO:O_02,SE002,4303,0.9656288314960986,0.971271901326086,0.8830267194765717,0.877343392452553,0.9704462757151655
StudyO,O_03,StudyO:O_03,SE001,3600,0.8137910126444299,0.8168987537242933,0.7516509519657001,0.754123973548434,0.8194728308262479
StudyO,O_03,StudyO:O_03,SE002,3527,0.8241775090901126,0.8053793637728175,0.7919707271859502,0.7900996742085205,0.8119447653171568
StudyO,O_04,StudyO:O_04,SE001,4320,0.8431698933782267,0.8402672558922559,0.7570377384960719,0.7454559483726151,0.8371618967452301
StudyO,O_04,StudyO:O_04,SE002,4320,0.8676416947250278,0.8854854096520763,0.7869682940516274,0.7768399270482603,0.8802609427609429
StudyO,O_05,StudyO:O_05,SE001,4311,0.8171709539544169,0.8109599314334691,0.7199485751017785,0.7002159620177505,0.8091076201323966
StudyO,O_05,StudyO:O_05,SE002,4317,0.7982688905736669,0.7784299272737484,0.7392742818633645,0.727834639036307,0.7803386403841295
StudyO,O_06,StudyO:O_06,SE001,4301,0.8826924952196826,0.8691033919408018,0.713986509117581,0.7638169898062295,0.873019507086741
StudyO,O_06,StudyO:O_06,SE002,4320,0.9173947811447812,0.9310774410774412,0.7795917508417509,0.8058908529741863,0.9307323232323234
StudyO,O_07,StudyO:O_07,SE001,4320,0.8916968294051628,0.8816000280583612,0.7950568181818182,0.7944710998877667,0.8900631313131312
StudyO,O_07,StudyO:O_07,SE002,4320,0.8656741021324353,0.8787773569023569,0.7281726992143659,0.7437563131313132,0.8731109708193041
StudyO,O_08,StudyO:O_08,SE001,4320,0.8440958193041527,0.8542178731762063,0.7942136644219978,0.7863208473625141,0.8561426767676767
StudyO,O_08,StudyO:O_08,SE002,4320,0.8256439393939394,0.8334490740740741,0.7809974747474748,0.7941238776655443,0.831304012345679
StudyO,O_09,StudyO:O_09,SE001,4309,0.9611515813969888,0.9730051831740772,0.8840097316737775,0.8664863721307429,0.974363386340397
StudyO,O_09,StudyO:O_09,SE002,4320,0.9454328002244669,0.9545959595959596,0.8806292087542087,0.8704110549943884,0.9563271604938273
StudyO,O_10,StudyO:O_10,SE001,4316,0.8323706605999326,0.8204099258510281,0.6695890911133581,0.7062893214245591,0.8205995112908663
StudyO,O_10,StudyO:O_10,SE002,4189,0.8327756484203477,0.8346582071223905,0.6327741599374838,0.6640955605998586,0.8344040486733897
StudyO,O_11,StudyO:O_11,SE001,4320,0.9531474466891134,0.9542922278338946,0.8947236251402919,0.8919879349046016,0.9558256172839505
StudyO,O_11,StudyO:O_11,SE002,4320,0.9572074915824916,0.96398709315376,0.9014225589225588,0.8898793490460158,0.9659736251402918
StudyO,O_12,StudyO:O_12,SE001,4320,0.9179678731762064,0.926844135802469,0.8222530864197531,0.8277644500561168,0.9348814534231201
StudyO,O_12,StudyO:O_12,SE002,4320,0.8701950056116722,0.8741603535353535,0.7704285914702581,0.7383340347923681,0.8738397867564534
StudyO,O_13,StudyO:O_13,SE001,4313,0.9643252663237484,0.9788402619670012,0.7863682997442168,0.76468856283554,0.9792000449728758
StudyO,O_13,StudyO:O_13,SE002,4317,0.9709038834133604,0.9836885407014292,0.8373290652289894,0.8354470277707579,0.9844909162384523
StudyO,O_14,StudyO:O_14,SE001,4320,0.9009455667789,0.9077518237934904,0.7880267957351291,0.8181264029180696,0.905378787878788
StudyO,O_14,StudyO:O_14,SE002,4320,0.9071499719416386,0.8974936868686868,0.756882014590348,0.8124579124579125,0.8974775533108866
StudyO,O_15,StudyO:O_15,SE001,4237,0.8532672282672282,0.8515312390312391,0.737059055809056,0.7398092898092898,0.8585329647829648
StudyO,O_15,StudyO:O_15,SE002,4272,0.7271847514865701,0.711924748003871,0.6337570617436905,0.5985882221962129,0.7174057173361347
StudyO,O_16,StudyO:O_16,SE001,4286,0.8509602873982375,0.8598848040106855,0.7279049059175718,0.7382060994415582,0.8596238699093788
StudyO,O_16,StudyO:O_16,SE002,4319,0.8629992141674384,0.8745600740927844,0.7826457298419915,0.7658296146613904,0.8759107238079201
StudyO,O_17,StudyO:O_17,SE001,4320,0.7778121492704826,0.7707428451178452,0.7481811167227833,0.7355667789001122,0.7806221941638608
StudyO,O_17,StudyO:O_17,SE002,4312,0.7552551674374457,0.7551635618235719,0.7388690370911131,0.7250288381519061,0.758630481979414
StudyO,O_18,StudyO:O_18,SE001,4307,0.8418905288235052,0.8482141720342184,0.7747722003024597,0.7447447978485466,0.8468857825543841
StudyO,O_18,StudyO:O_18,SE002,4312,0.8832271986054882,0.8942898110661268,0.7634622413405308,0.7645299145299146,0.8875962944219523
StudyP,P_01,StudyP:P_01,SE001,4229,0.8550022568996648,0.8669286526602106,0.7183484477219969,0.6910209100288414,0.8683839132881563
StudyP,P_01,StudyP:P_01,SE002,4320,0.9338257575757576,0.9414407968574636,0.8108221099887767,0.8428787878787879,0.9379061447811448
StudyP,P_02,StudyP:P_02,SE001,4320,0.9068581649831648,0.911408529741863,0.8315733726150393,0.8154987373737373,0.9130723905723905
StudyP,P_02,StudyP:P_02,SE002,4320,0.8989471099887767,0.9108831369248036,0.7944479517396184,0.7871366442199774,0.9087913860830527
StudyP,P_03,StudyP:P_03,SE001,4320,0.8198372615039281,0.8231306116722782,0.7002960157126823,0.6859273288439957,0.8236749438832773
