arm,role,n_cohorts,n_records,n_selections,mae,brier_skill,character_auc,mae_prediction_low,mae_prediction_high,slope_pooled,slope_tau,slope_i_squared,slope_prediction_low,slope_prediction_high,intercept_pooled,intercept_tau,intercept_i_squared,intercept_prediction_low,intercept_prediction_high,n_cohorts_dropped_slope,n_cohorts_dropped_intercept,se_method
calibration_auc_cohort_z,alignment,18,739,19611,0.12883863100221635,0.05096766546637621,0.6769256876061626,0.057745677837537694,0.2648260767954656,1.203725686975923,0.6542928447243896,87.40696902287148,-0.22405734843407354,2.6315087223859193,0.03452389948941918,1.486667034516284,93.29150033965897,-3.199278099263865,3.2683258982427033,0.0,0.0,quasibinomial
calibration_auc_cohort_rank,alignment,18,739,19611,0.13084960659567937,0.048761133325217476,0.6643264514316572,0.058529695301881506,0.26674945902136465,1.2957540562264946,0.6693598811319438,86.15786776903813,-0.1665805537052929,2.758088666158282,-0.19440518373793508,1.3720455682571557,90.94698810345763,-3.1827959597108126,2.793985592234942,0.0,0.0,quasibinomial
calibration_auc_rbf,nonlinear,18,739,19611,0.11235589879817771,0.08576845494475949,0.7192593661683486,0.04686473507696305,0.24639545710707395,1.0924180442388176,0.5408341766983099,75.21913126913451,-0.09479016217516589,2.279626250652801,-0.06185639088375705,0.9765842398516961,81.22830105571623,-2.200337392098501,2.076624610330987,0.0,0.0,quasibinomial
calibration_auc_gbm,nonlinear,18,739,19611,0.11342735687685325,0.07530076220567028,0.7228299014754748,0.04113317939442964,0.27971542615912076,1.0053314734453314,0.5458749495909754,77.76774719322943,-0.1904058414421841,2.201068788332847,0.023029016076458405,1.02379288408896,83.03247402190135,-2.215649308382471,2.2617073405353882,0.0,0.0,quasibinomial
calibration_auc,primary,18,739,19611,0.09836484226836315,0.1095122922644507,0.747598549825761,0.03216018960699441,0.25440537708963884,1.029170934423565,0.3728127519990409,64.99159877991457,0.19726819960202047,1.8610736692451098,-0.031013706362342363,0.7703504592064673,74.28796949267924,-1.738664948845765,1.6766375361210804,1.0,1.0,bootstrap
calibration_auc_ea_session,alignment,18,739,19611,0.0945824788635072,0.12406772195684246,0.7559741731228723,0.03224100289731487,0.23603391916917998,1.0180511017870328,0.34397810240428206,61.541854531003715,0.2493874154906054,1.7867147880834602,-0.01060086529818396,0.7540038946881716,74.17563608454087,-1.6809294103135615,1.6597276797171936,1.0,1.0,bootstrap
calibration_auc_ea_cohort,alignment,18,739,19611,0.09673492182363719,0.11395313354626169,0.7534393624200626,0.03342802571869361,0.2406032419144779,1.0499223928781505,0.3829934078012161,64.52965715415601,0.1960352095879736,1.9038095761683274,-0.042126947245580255,0.7729162880785233,73.14147291885226,-1.7552323936006498,1.6709784991094891,1.0,1.0,bootstrap
calibration_auc_cohort_z,alignment,18,739,19611,0.12883863100221635,0.05096766546637621,0.6769256876061626,0.057745677837537694,0.2648260767954656,1.1922012593927944,0.5953097957681992,80.2266998101377,-0.12340483755756293,2.507807356343152,-0.1297320053763014,1.4213469873891562,88.94663047374016,-3.252249330452341,2.9927853196997383,1.0,1.0,bootstrap
calibration_auc_cohort_rank,alignment,18,739,19611,0.13084960659567937,0.048761133325217476,0.6643264514316572,0.058529695301881506,0.26674945902136465,1.2434365860521837,0.6054712360485944,79.00996122943079,-0.09416848954842205,2.5810416616527894,-0.23069954200962736,1.3927932595714718,87.12816266233051,-3.2914439802610973,2.8300448962418425,1.0,1.0,bootstrap
calibration_auc_rbf,nonlinear,18,739,19611,0.11235589879817771,0.08576845494475949,0.7192593661683486,0.04686473507696305,0.24639545710707395,1.019384336420148,0.44200630400648144,64.25256469312157,0.03328158037955231,2.0054870924607435,0.015290422477723721,0.9449885098086933,72.6536632677383,-2.0763076154233855,2.106888460378833,1.0,1.0,bootstrap
