held_out_study,n_local_participants,n_local_selections,n_evaluation_participants,draw,method,identified,mean_absolute_error,transported_mean_absolute_error
StudyA,1,108,12,184,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,185,intercept_only,True,0.13138772977719398,0.13337893655134714
StudyA,1,108,12,186,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,187,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,188,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,189,intercept_only,True,0.11595715255648778,0.12097001927877667
StudyA,1,108,12,190,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,191,intercept_only,True,0.1247414671688048,0.12226142756556313
StudyA,1,108,12,192,intercept_only,True,0.13418960246816436,0.1264795645222355
StudyA,1,108,12,193,intercept_only,True,0.20542473414198895,0.10941819978266037
StudyA,1,108,12,194,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,195,intercept_only,True,0.11574295358274056,0.12328812828963666
StudyA,1,108,12,196,intercept_only,False,,0.13176045804089676
StudyA,1,108,12,197,intercept_only,True,0.12670890665530365,0.13281893502128506
StudyA,1,108,12,198,intercept_only,True,0.1811093861039294,0.13280160057058793
StudyA,1,108,12,199,intercept_only,True,0.1793421349200146,0.13176203882910517
StudyA,2,216,11,0,intercept_only,True,0.21505720164126113,0.1402585554641084
StudyA,2,216,11,0,intercept_and_slope,False,,0.1402585554641084
StudyA,2,216,11,1,intercept_only,True,0.11784732132131508,0.12372147957895464
StudyA,2,216,11,1,intercept_and_slope,True,0.17058221353426503,0.12372147957895464
StudyA,2,216,11,2,intercept_only,True,0.12462769835783967,0.1319517299064007
StudyA,2,216,11,2,intercept_and_slope,False,,0.1319517299064007
StudyA,2,216,11,3,intercept_only,True,0.12879994232152647,0.1325297287978281
StudyA,2,216,11,3,intercept_and_slope,False,,0.1325297287978281
StudyA,2,216,11,4,intercept_only,True,0.13277069880658315,0.13429534171831942
StudyA,2,216,11,4,intercept_and_slope,True,0.1068632422117728,0.13429534171831942
StudyA,2,216,11,5,intercept_only,True,0.12462769835783967,0.1319517299064007
StudyA,2,216,11,5,intercept_and_slope,False,,0.1319517299064007
StudyA,2,216,11,6,intercept_only,False,,0.13912276361353623
StudyA,2,216,11,6,intercept_and_slope,False,,0.13912276361353623
StudyA,2,216,11,7,intercept_only,True,0.12306396435955594,0.12485554693329944
StudyA,2,216,11,7,intercept_and_slope,True,0.15844014832734876,0.12485554693329944
StudyA,2,216,11,8,intercept_only,True,0.1347519478281485,0.12216715009746414
StudyA,2,216,11,8,intercept_and_slope,True,0.13688792620788448,0.12216715009746414
StudyA,2,216,11,9,intercept_only,True,0.15510299924200469,0.1035547521997458
StudyA,2,216,11,9,intercept_and_slope,True,0.8416508093280993,0.1035547521997458
StudyA,2,216,11,10,intercept_only,True,0.12232247481901393,0.12906391669566677
StudyA,2,216,11,10,intercept_and_slope,True,0.11269156076651278,0.12906391669566677
StudyA,2,216,11,11,intercept_only,True,0.12792309940944913,0.13253145329405544
StudyA,2,216,11,11,intercept_and_slope,True,0.11729803295571802,0.13253145329405544
StudyA,2,216,11,12,intercept_only,True,0.12325985354330632,0.11391905539633715
StudyA,2,216,11,12,intercept_and_slope,True,0.10252679562440908,0.11391905539633715
StudyA,2,216,11,13,intercept_only,True,0.12112565804380851,0.1276551076555361
StudyA,2,216,11,13,intercept_and_slope,True,0.0916459853857405,0.1276551076555361
StudyA,2,216,11,14,intercept_only,True,0.12424044867991055,0.13225546168889515
StudyA,2,216,11,14,intercept_and_slope,True,0.3046941859248687,0.13225546168889515
StudyA,2,216,11,15,intercept_only,True,0.12746208322125774,0.12455181515080496
StudyA,2,216,11,15,intercept_and_slope,False,,0.12455181515080496
StudyA,2,216,11,16,intercept_only,True,0.12970052985157832,0.13366552064840026
StudyA,2,216,11,16,intercept_and_slope,True,0.10928738637992706,0.13366552064840026
StudyA,2,216,11,17,intercept_only,True,0.13273584513490166,0.1336844309582517
StudyA,2,216,11,17,intercept_and_slope,True,0.10573851826900707,0.1336844309582517
StudyA,2,216,11,18,intercept_only,True,0.12118754342964398,0.12735137587304163
StudyA,2,216,11,18,intercept_and_slope,False,,0.12735137587304163
StudyA,2,216,11,19,intercept_only,True,0.13261797218233412,0.11505312275068193
StudyA,2,216,11,19,intercept_and_slope,True,0.09605651647204527,0.11505312275068193
