held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates,slope_ci_low,slope_ci_high,intercept_ci_low,intercept_ci_high
StudyH,64,1926,1.7053010944494158,0.16179994155538577,0.18516677798939613,0.09786167137346197,model,,-0.00663857336948373,0.37697212934827595,1.388179036300174,2.0224231525986576
StudyI,26,948,-0.5035507545094049,0.16219366981878094,1.0435383608366,0.14567026984698617,model,,0.7580298783182762,1.3290468433549238,-0.8214445058745967,-0.18565700314421307
StudyJ,40,1812,0.49091809047291324,0.08130085837465795,0.32638528712739523,0.05765981255682851,model,,0.213374131160681,0.43939644309410947,0.331571336146392,0.6502648447994345
StudyK,16,480,0.726534562984313,0.12671456366010342,0.4798229044810691,0.10544662759057086,model,,0.27315131211234267,0.6864944968497956,0.47817858189380236,0.9748905440748236
StudyL,33,990,-1.0879613083808832,0.22722116108310186,1.7750998519648862,0.155934065206537,model,,1.4694747001971533,2.080725003732619,-1.5333066006291372,-0.6426160161326294
StudyM,42,1260,0.47653333791328867,0.13119579381711707,0.8884824093937631,0.10466949492133816,model,,0.6833339690679422,1.093630849719584,0.21939430710859648,0.7336723687179809
StudyN,16,480,-0.6711960031669565,0.17541059730570507,1.1449856053576304,0.1206889891253408,model,,0.9084395333414161,1.3815316773738446,-1.014994456392797,-0.3273975499411159
StudyO,34,1187,0.504920226417173,0.4018849141163038,0.5827690750192174,0.15267147206117887,model,,0.2835384883125937,0.881999661725841,-0.28275973118075515,1.2926001840151011
StudyQ,54,1944,-0.09440163075196029,0.15484766125491262,1.1077499918528582,0.10580740787796754,model,,0.9003712831145022,1.315128700591214,-0.3978974699018474,0.2090942083979268
StudyR,80,1440,1.2782657935073987,0.5504633726949626,0.7625630241599347,0.2150770402494739,model,,0.34101977136949424,1.1841062769503752,0.19937740821682293,2.357154178797974
StudyS1,20,360,1.9947449741619787,4.220290006295052,1.311752522427733,1.5142471233998573,model,,-1.6561173031293663,4.279622347984833,-6.276871442490641,10.266361390814598
StudyS2,48,864,-2.022029432231135,1.0596416800411161,2.1846670079077977,0.4372180455945789,model,,1.3277353851514317,3.0415986306641636,-4.098888961629238,0.05483009716696774
StudyA,39,1404,-2.1693741503058552,0.5090106310575698,1.9985966253595857,0.30374718479665774,quasibinomial,,1.4032630827527042,2.5939301679664672,-3.167016654926697,-1.1717316456850133
StudyB,56,781,-0.1543831709607068,0.49541982078029867,1.5775557871487882,0.37430920685146596,quasibinomial,,0.8439232226381617,2.311188351659415,-1.1253881769173804,0.8166218349959669
StudyD,34,1230,0.38876469986737655,0.4747186647010377,0.838861898589682,0.22698743429248397,quasibinomial,,0.3939747024332614,1.2837490947461025,-0.5416667857356032,1.3191961854703562
StudyE,8,240,0.9504469080854956,0.7005726275357431,0.7824419795079876,0.37640108469855366,quasibinomial,,0.044709409757011986,1.5201745492589631,-0.42265021043915474,2.323544026610146
StudyF,89,1067,-0.9317512200739051,0.17382252338786924,1.4181210120436405,0.10908582414338056,quasibinomial,,1.2043167254987448,1.6319252985885362,-1.272437105616,-0.5910653345318102
StudyG,40,1198,-1.0294058862657214,0.469125650556907,1.3986114092253006,0.22117368267461113,quasibinomial,,0.9651189568549723,1.8321038615956289,-1.9488752655811818,-0.10993650695026091
StudyH,64,1926,1.7053010944494158,0.3875609948187845,0.18516677798939613,0.2344090260325895,quasibinomial,,-0.27426647068559123,0.6446000266643834,0.9456955027920837,2.464906686106748
StudyI,26,948,-0.5035507545094049,0.4461521526630191,1.0435383608366,0.40070062255728195,quasibinomial,,0.2581795720415494,1.8288971496316506,-1.3779929053539384,0.3708913963351286
StudyJ,40,1812,0.49091809047291324,0.24107019896197454,0.32638528712739523,0.17097067316471967,quasibinomial,,-0.008711074688024012,0.6614816489428145,0.018429182761537988,0.9634069981842885
StudyK,16,480,0.726534562984313,0.36549818597421385,0.4798229044810691,0.3041524982466304,quasibinomial,,-0.1163050378902083,1.0759508468523467,0.01017128206013107,1.442897843908495
StudyL,33,990,-1.0879613083808832,0.34136598950320085,1.7750998519648862,0.23426773374781787,quasibinomial,,1.3159435310793446,2.2342561728504275,-1.7570263533540351,-0.41889626340773145
StudyM,42,1260,0.47653333791328867,0.2588402807710919,0.8884824093937631,0.20650571687819438,quasibinomial,,0.48373864171087694,1.2932261770766493,-0.03078429014628692,0.9838509659728643
StudyN,16,480,-0.6711960031669565,0.33886291519253253,1.1449856053576304,0.23315023900966275,quasibinomial,,0.6880195339117858,1.601951676803475,-1.335355112640571,-0.007036893693342039
StudyO,34,1187,0.504920226417173,0.6436552774876132,0.5827690750192174,0.24451726168935564,quasibinomial,,0.1035240485097248,1.06201410152871,-0.7566209359176834,1.7664613887520295
StudyQ,54,1944,-0.09440163075196029,0.18477189780986422,1.1077499918528582,0.1262546388981009,quasibinomial,,0.8602954467314706,1.3552045369742456,-0.45654789581440947,0.2677446343104889
StudyR,80,1440,1.2782657935073987,0.7266542215228418,0.7625630241599347,0.28391832590925914,quasibinomial,,0.20609333082688153,1.319032717492988,-0.14595030989136126,2.702481896906159
