arm,held_out_study,n_records,n_selections,intercept,intercept_se,slope,slope_se,se_method,n_bootstrap_replicates
calibration_auc,StudyS2,48,864,-2.0220294322311405,1.3958363144817805,2.184667007907801,0.4945868768670951,cluster,
calibration_auc_ea_session,StudyA,39,1404,-2.271295566240898,0.5319411751271161,2.0718632682996354,0.3185468296776726,cluster,
calibration_auc_ea_session,StudyB,56,781,0.00039598386764710947,0.4380197603997315,1.4495550608536374,0.4219307431549238,cluster,
calibration_auc_ea_session,StudyD,34,1230,0.5505164720061848,0.43434026551774335,0.8013281993810226,0.1852884064563952,cluster,
calibration_auc_ea_session,StudyE,8,240,0.9908053746650718,0.5031018543363731,0.754954135513344,0.2618964221098087,cluster,
calibration_auc_ea_session,StudyF,89,1067,-1.0137345954520351,0.23197822030278167,1.3265529665938285,0.12816272393621075,cluster,
calibration_auc_ea_session,StudyG,40,1198,-1.0722107102762428,0.475239791115701,1.3718874797580018,0.22978815884872655,cluster,
calibration_auc_ea_session,StudyH,64,1926,1.6424666566287789,0.3139999784885097,0.19122885520293592,0.2112458333076777,cluster,
calibration_auc_ea_session,StudyI,26,948,-0.7273747478904972,0.5743048627472728,1.4942943604508498,0.6184502584817279,cluster,
calibration_auc_ea_session,StudyJ,40,1812,0.3348999728185894,0.4173933310996137,0.5151257573419699,0.2823006872176366,cluster,
calibration_auc_ea_session,StudyK,16,480,0.7205997164698945,0.8010271215752406,0.42099367181602,0.31462027284754307,cluster,
calibration_auc_ea_session,StudyL,33,990,-1.157952600686166,0.23865228040152686,1.8335805902353295,0.19274624325230394,cluster,
calibration_auc_ea_session,StudyM,42,1260,0.49057171818814005,0.26859782378646735,0.9488733949880277,0.21935834691541492,cluster,
calibration_auc_ea_session,StudyN,16,480,-0.4739376624970531,0.3091804481304715,1.0919836425809373,0.21942604360940712,cluster,
calibration_auc_ea_session,StudyO,34,1187,0.5425445836543517,0.6185076565477863,0.545236182903857,0.23385136260146847,cluster,
calibration_auc_ea_session,StudyQ,54,1944,0.021738761554285835,0.2108588863570196,1.0579912567718937,0.12989015443575322,cluster,
calibration_auc_ea_session,StudyR,80,1440,1.4562274495465048,0.41846149927329757,0.6850069089724904,0.18191975760277646,cluster,
calibration_auc_ea_session,StudyS1,20,360,1.6162931752744554,2.7565751289807645,1.3827590762200472,0.7860427918430407,cluster,
calibration_auc_ea_session,StudyS2,48,864,-1.8150870176130482,1.3278541888230249,2.0519538386397422,0.4517329024174375,cluster,
calibration_auc_ea_cohort,StudyA,39,1404,-2.3162955787633077,0.5354694520997799,2.161445391982098,0.33017276350393027,cluster,
calibration_auc_ea_cohort,StudyB,56,781,-0.08362627650266677,0.4665842833660031,1.546659109663135,0.4659431469841074,cluster,
calibration_auc_ea_cohort,StudyD,34,1230,0.5249976211228448,0.4444512303651313,0.8338882280925413,0.1959851204732522,cluster,
calibration_auc_ea_cohort,StudyE,8,240,0.8761873819007904,0.49348336079697946,0.8296499231882888,0.271748610834072,cluster,
calibration_auc_ea_cohort,StudyF,89,1067,-1.016174347993386,0.25037915771946445,1.3912036059395256,0.13990008598428694,cluster,
calibration_auc_ea_cohort,StudyG,40,1198,-1.104985137359502,0.47193426713881365,1.4299161827902998,0.23244313008048667,cluster,
calibration_auc_ea_cohort,StudyH,64,1926,1.7535926866497322,0.3333398432902933,0.1266569958080504,0.2186607783866397,cluster,
